,url,address,city,state,zip,phone
0,https://www.target.com/sl/crystal/3,5537 W Broadway Ave,Crystal,MN,55428,(763) 533-2231
1,https://www.target.com/sl/duluth/4,1902 Miller Trunk Hwy,Duluth,MN,55811,(218) 727-8851
2,https://www.target.com/sl/bloomington-79th-and-penn/5,2555 W 79th St,Bloomington,MN,55431,(952) 888-7701
3,https://www.target.com/sl/bridgeton/12,12275 St Charles Rock Rd,Bridgeton,MO,12275,(314) 291-0600
4,https://www.target.com/sl/north-dallas/13,13131 Montfort Dr,Dallas,TX,13131,(972) 239-8161
5,https://www.target.com/sl/tulsa/19,1701 S Yale Ave,Tulsa,OK,74112,(918) 744-1701
6,https://www.target.com/sl/ballwin/26,15025 Manchester Rd,Ballwin,MO,15025,(636) 391-7500
7,https://www.target.com/sl/oklahoma-city-north/43,5400 N May AveOklahoma,City,OK,73112,(405) 947-6761
8,https://www.target.com/sl/arvada/48,7899 Wadsworth Blvd,Arvada,CO,80003,(303) 425-0124
9,https://www.target.com/sl/east-lake-street-and-hwy-55/52,2500 E Lake St,Minneapolis,MN,55406,(612) 721-5701
10,https://www.target.com/sl/medallion/55,6464 E NORTHWEST HWY STE 212,Dallas,TX,75214,(214) 361-2026
11,https://www.target.com/sl/fargo/61,4202 13th Ave SW,Fargo,ND,58103,(701) 282-7400
12,https://www.target.com/sl/boulder/64,2800 Pearl St,Boulder,CO,80301,(303) 449-3400
13,https://www.target.com/sl/plano/67,120 W Parker Rd,Plano,TX,75075,(972) 424-9575
14,https://www.target.com/sl/east-st-paul/68,1744 Suburban AveSaint,Paul,MN,55106,(651) 778-1188
15,https://www.target.com/sl/valley-west/69,1800 Valley West DrWest Des,Moines,IA,50266,(515) 225-3784
16,https://www.target.com/sl/houston-westchase/75,10801 Westheimer Rd,Houston,TX,10801,(713) 782-9950
17,https://www.target.com/sl/sioux-falls/76,3600 S Louise AveSioux,Falls,SD,57106,(605) 361-1551
18,https://www.target.com/sl/alton/78,300 Homer M Adams Pkwy,Alton,IL,62002,(618) 465-4950
